Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Andytown,442.825000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
1,Apalachiola,444.400000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
2,Brooksville,444.825000,+,5.000000,Tone,146.2,146.2,023,NN,FM,5.00,,,,,,
3,Central Turnpike,444.975000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
4,Chattahoochee,444.975000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
5,Chiefland,442.725000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Proposed as of 4/10/2022,,,,
6,Chipley,444.750000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
7,Christmas,442.875000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
8,Clermont,444.975000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
9,Cocoa,444.650000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
10,Crestview,444.900000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
11,Daytona,444.850000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Proposed as of 4/10/2022,,,,
12,Dundee,444.350000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Proposed as of 4/10/2022,,,,
13,Ft. Lauderdale,442.850000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
14,Florida City,442.050000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
15,Ft. Myers,444.225000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
16,Gainseville,444.925000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
17,Islamorada,442.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
18,Jacksonville,444.700000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
19,Key West,444.400000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Proposed as of 4/10/2022,,,,
20,Lake City,444.900000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
21,Lakeland,442.275000,+,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
22,Live Oak,443.700000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
23,Madison,444.300000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
24,Miami,444.600000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
25,Milton,444.725000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
26,Naples,444.950000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
27,Ocala,444.025000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
28,Orlando,444.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
29,Palm Beach,444.325000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
30,Panama City,444.175000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
31,Pensacola,444.875000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Proposed as of 4/10/2022,,,,
32,Perry,443.100000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
33,Sarasota,444.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
34,Sebastian,444.375000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
35,SEOC,443.500000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
36,Skyway Bridge,442.250000,+,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
37,St. Augustine,442.800000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
38,Stuart,444.150000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
39,Tallahassee,442.100000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
40,Tampa,442.850000,+,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
41,Yulee,442.900000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
